feature,category,mean_abs_shap
Destination Port,ALL,0.035242750916229276
Flow Duration,ALL,0.004185255036805443
Total Fwd Packets,ALL,0.004689859040034409
Total Backward Packets,ALL,0.003877216689028283
Total Length of Fwd Packets,ALL,0.012588209379274889
Total Length of Bwd Packets,ALL,0.023522866632760302
Fwd Packet Length Max,ALL,0.018325501622849988
Fwd Packet Length Min,ALL,0.005019481024837157
Fwd Packet Length Mean,ALL,0.008833263636778495
Fwd Packet Length Std,ALL,0.0025388591953023586
Bwd Packet Length Max,ALL,0.018009721467563865
Bwd Packet Length Min,ALL,0.005350140290037625
Bwd Packet Length Mean,ALL,0.022821741973779494
Bwd Packet Length Std,ALL,0.03156985023334326
Flow Bytes/s,ALL,0.005493100929484856
Flow Packets/s,ALL,0.004744259373257345
Flow IAT Mean,ALL,0.003351376167116935
Flow IAT Std,ALL,0.0035604706391017954
Flow IAT Max,ALL,0.004987741482559956
Flow IAT Min,ALL,0.0014509129982082218
Fwd IAT Total,ALL,0.0029389462849000424
Fwd IAT Mean,ALL,0.00406391383648807
Fwd IAT Std,ALL,0.0050716041138531365
Fwd IAT Max,ALL,0.0046988614169441575
Fwd IAT Min,ALL,0.004221774944305039
Bwd IAT Total,ALL,0.002105656375372537
Bwd IAT Mean,ALL,0.0025321766286493493
Bwd IAT Std,ALL,0.0014185079371646847
Bwd IAT Max,ALL,0.001998704165065873
Bwd IAT Min,ALL,0.0015213654197960805
Fwd PSH Flags,ALL,0.0005331878668195857
Bwd PSH Flags,ALL,0.0
Fwd URG Flags,ALL,4.721458966185856e-06
Bwd URG Flags,ALL,0.0
Fwd Header Length,ALL,0.0060882485499287
Bwd Header Length,ALL,0.007753843883986094
Fwd Packets/s,ALL,0.002638498770079955
Bwd Packets/s,ALL,0.006205784778218681
Min Packet Length,ALL,0.005366040417744492
Max Packet Length,ALL,0.026027192952974086
Packet Length Mean,ALL,0.01563673173969903
Packet Length Std,ALL,0.021373565068887747
Packet Length Variance,ALL,0.028846105904172203
FIN Flag Count,ALL,0.0018220614222164845
SYN Flag Count,ALL,0.0003273341235474241
RST Flag Count,ALL,2.953132972855906e-09
PSH Flag Count,ALL,0.00972884499808828
ACK Flag Count,ALL,0.004174463607986183
URG Flag Count,ALL,0.0033501960254646596
CWE Flag Count,ALL,6.010327728073337e-06
ECE Flag Count,ALL,0.0
Down/Up Ratio,ALL,0.0007748859577485878
Average Packet Size,ALL,0.02548730763079811
Avg Fwd Segment Size,ALL,0.013011388425681489
Avg Bwd Segment Size,ALL,0.022165287089016494
Fwd Header Length.1,ALL,0.006974423305625046
Fwd Avg Bytes/Bulk,ALL,0.0
Fwd Avg Packets/Bulk,ALL,0.0
Fwd Avg Bulk Rate,ALL,0.0
Bwd Avg Bytes/Bulk,ALL,0.0
Bwd Avg Packets/Bulk,ALL,0.0
Bwd Avg Bulk Rate,ALL,0.0
Subflow Fwd Packets,ALL,0.0040491148444554955
Subflow Fwd Bytes,ALL,0.019720886608973632
Subflow Bwd Packets,ALL,0.003924468698604708
Subflow Bwd Bytes,ALL,0.015857044358893093
Init_Win_bytes_forward,ALL,0.010864003473575497
Init_Win_bytes_backward,ALL,0.012373911483198427
act_data_pkt_fwd,ALL,0.0023941638825234392
min_seg_size_forward,ALL,0.006876833572351375
Active Mean,ALL,0.0010117047060734612
Active Std,ALL,0.00029908624603700734
Active Max,ALL,0.0011745264619508436
Active Min,ALL,0.0006659131986108732
Idle Mean,ALL,0.0034612003042036586
Idle Std,ALL,0.0002018603766680178
Idle Max,ALL,0.0028688003592925878
Idle Min,ALL,0.004001305200877219
Destination Port,TP,0.04547819565884145
Flow Duration,TP,0.005328658130758963
Total Fwd Packets,TP,0.00758322423814702
Total Backward Packets,TP,0.005212147417994651
Total Length of Fwd Packets,TP,0.02068427587614674
Total Length of Bwd Packets,TP,0.033584659387885685
Fwd Packet Length Max,TP,0.026506735715323256
Fwd Packet Length Min,TP,0.0071687904824321875
Fwd Packet Length Mean,TP,0.014595547295500843
Fwd Packet Length Std,TP,0.003884849030210716
Bwd Packet Length Max,TP,0.03247386414933364
Bwd Packet Length Min,TP,0.008790655074948929
Bwd Packet Length Mean,TP,0.039256962665422994
Bwd Packet Length Std,TP,0.053991369596718276
Flow Bytes/s,TP,0.008921634839302571
Flow Packets/s,TP,0.006156396526135495
Flow IAT Mean,TP,0.004326997731143838
Flow IAT Std,TP,0.0048518110684689746
Flow IAT Max,TP,0.007345113649489788
Flow IAT Min,TP,0.00169939148125645
Fwd IAT Total,TP,0.0042329837931789835
Fwd IAT Mean,TP,0.006519085474994271
Fwd IAT Std,TP,0.008000927105170934
Fwd IAT Max,TP,0.008021613498585028
Fwd IAT Min,TP,0.006729208708199757
Bwd IAT Total,TP,0.0028029309138431846
Bwd IAT Mean,TP,0.003145370264745443
Bwd IAT Std,TP,0.0016421193818819011
Bwd IAT Max,TP,0.0026003610893297648
Bwd IAT Min,TP,0.0017168787579983017
Fwd PSH Flags,TP,0.0006363834357117799
Bwd PSH Flags,TP,0.0
Fwd URG Flags,TP,5.051076537090714e-06
Bwd URG Flags,TP,0.0
Fwd Header Length,TP,0.008102624303170096
Bwd Header Length,TP,0.010939462638890188
Fwd Packets/s,TP,0.003112111715896494
Bwd Packets/s,TP,0.008351139039520101
Min Packet Length,TP,0.007981522841999846
Max Packet Length,TP,0.041209084989228616
Packet Length Mean,TP,0.023611966972420732
Packet Length Std,TP,0.037227127212848245
Packet Length Variance,TP,0.052176371938144346
FIN Flag Count,TP,0.003069580252345051
SYN Flag Count,TP,0.00039399062036731474
RST Flag Count,TP,2.638691379358768e-09
PSH Flag Count,TP,0.012004192239990462
ACK Flag Count,TP,0.005558742460783539
URG Flag Count,TP,0.004970476884623709
CWE Flag Count,TP,5.454414151360463e-06
ECE Flag Count,TP,0.0
Down/Up Ratio,TP,0.0011142761891928408
Average Packet Size,TP,0.039892267516666934
Avg Fwd Segment Size,TP,0.02136878605275533
Avg Bwd Segment Size,TP,0.03687822914649597
Fwd Header Length.1,TP,0.01000956418662421
Fwd Avg Bytes/Bulk,TP,0.0
Fwd Avg Packets/Bulk,TP,0.0
Fwd Avg Bulk Rate,TP,0.0
Bwd Avg Bytes/Bulk,TP,0.0
Bwd Avg Packets/Bulk,TP,0.0
Bwd Avg Bulk Rate,TP,0.0
Subflow Fwd Packets,TP,0.006517573588355187
Subflow Fwd Bytes,TP,0.03163389424439027
Subflow Bwd Packets,TP,0.004922993666532135
Subflow Bwd Bytes,TP,0.021837700198984043
Init_Win_bytes_forward,TP,0.01306018516064545
Init_Win_bytes_backward,TP,0.015891595528360586
act_data_pkt_fwd,TP,0.003938049796072279
min_seg_size_forward,TP,0.010763051221460693
Active Mean,TP,0.0015802086982700898
Active Std,TP,0.00038873138427792005
Active Max,TP,0.0020315324451087684
Active Min,TP,0.001035269245086735
Idle Mean,TP,0.005638707095582048
Idle Std,TP,0.0002882172283942362
Idle Max,TP,0.00470325415486102
Idle Min,TP,0.006505033990799645
Destination Port,FP,0.01703041101297357
Flow Duration,FP,0.008778843424331124
Total Fwd Packets,FP,0.0070185762345643275
Total Backward Packets,FP,0.0016711070025573782
Total Length of Fwd Packets,FP,0.04211672825266765
Total Length of Bwd Packets,FP,0.02984802070780897
Fwd Packet Length Max,FP,0.0435234739697351
Fwd Packet Length Min,FP,0.0107599643810357
Fwd Packet Length Mean,FP,0.0291682153192541
Fwd Packet Length Std,FP,0.0005367360092127907
Bwd Packet Length Max,FP,0.02342776878076111
Bwd Packet Length Min,FP,0.015253323651693296
Bwd Packet Length Mean,FP,0.028168062541006986
Bwd Packet Length Std,FP,0.0036109814314752306
Flow Bytes/s,FP,0.014572271862545925
Flow Packets/s,FP,0.0029588228292868417
Flow IAT Mean,FP,0.00020816999532252196
Flow IAT Std,FP,0.0023211194327373477
Flow IAT Max,FP,0.007749877065331824
Flow IAT Min,FP,0.0002527986877229188
Fwd IAT Total,FP,0.003611669293328723
Fwd IAT Mean,FP,0.0071432948923288156
Fwd IAT Std,FP,0.0005122596985696887
Fwd IAT Max,FP,0.0019308290572105208
Fwd IAT Min,FP,0.011993687529377385
Bwd IAT Total,FP,0.004329229092905114
Bwd IAT Mean,FP,0.004700158653612763
Bwd IAT Std,FP,0.0009063379884015205
Bwd IAT Max,FP,0.0035269194411408356
